Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
142,Tungsten,183.84,19.28,298,3695,4000,0.132,1,0,0,3.165,3.165,3.165,90,90,90,0.5,2170.559,51679.976
143,Tungsten,183.84,19.28,298,3695,8000,0.132,1,0,0,3.165,3.165,3.165,90,90,90,0.5,2483.806,73053.117
144,Tantalum,180.947,16.6,298,3290,3300,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,1361.388,30253.066
145,Tantalum,180.947,16.6,298,3290,2100,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,1819.587,37134.428
146,Tantalum,180.947,16.6,298,3290,7900,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,1142.687,40810.249
147,Tantalum,180.947,16.6,298,3290,5500,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,1975.818,32390.459
148,Tantalum,180.947,16.6,298,3290,7500,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,1921.554,53376.5
149,Tantalum,180.947,16.6,298,3290,5300,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,1731.629,28387.36
150,Tantalum,180.947,16.6,298,3290,6800,0.14,1,0,0,3.301,3.301,3.301,90,90,90,0.04,2015.234,33036.622
151,Titanium,47.867,4.5,298,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,20,325.253,16262.65
152,Titanium,47.867,4.5,298,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,20,379.515,18975.75
153,Titanium,47.867,4.5,298,1941,2000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,20,488.04,24402
154,Titanium,47.867,4.5,77,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,20,517.565,25878.25
155,Titanium,47.867,4.5,77,1941,1500,0.523,0,0,1,2.95,2.95,4.685,90,90,120,20,569.434,28471.699
156,Titanium,47.867,4.5,298,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,240,275.819,13790.95
157,Titanium,47.867,4.5,298,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,240,310.891,15544.55
158,Titanium,47.867,4.5,298,1941,3000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,240,346.59,17329.5
159,Titanium,47.867,4.5,77,1941,2500,0.523,0,0,1,2.95,2.95,4.685,90,90,120,240,409.927,20496.35
160,Titanium,47.867,4.5,77,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,240,489.354,24467.699
